group,level,freq_rank,infinitive,english,also_adjective,also_adjective_note,eu,tu,ele_ela,nos,eles_elas_voces
"Becoming, changing & causing",C2,489,beneficiar,to benefit,,,beneficio,beneficias,beneficia,beneficiamos,beneficiam
"Becoming, changing & causing",C2,492,adaptar,to adapt,,,adapto,adaptas,adapta,adaptamos,adaptam
"Having, needing & ability",A1,2,ter,to have,,,tenho,tens,tem,temos,têm
"Having, needing & ability",A1,4,poder,to be able to,,,posso,podes,pode,podemos,podem
"Having, needing & ability",A1,14,dever,must / should / to owe,,,devo,deves,deve,devemos,devem
"Having, needing & ability",A1,31,conseguir,to manage / to be able to,,,consigo,consegues,consegue,conseguimos,conseguem
"Having, needing & ability",A1,59,manter,to maintain,,,mantenho,manténs,mantém,mantemos,mantêm
"Having, needing & ability",A1,84,precisar,to need,,,preciso,precisas,precisa,precisamos,precisam
"Having, needing & ability",A2,88,possuir,to own,,,possuo,possuis,possui,possuímos,possuem
"Having, needing & ability",A2,92,obter,to get,,,obtenho,obténs,obtém,obtemos,obtêm
"Having, needing & ability",B1,245,adquirir,to acquire,,,adquiro,adquires,adquire,adquirimos,adquirem
"Having, needing & ability",B1,266,guardar,to keep / to save / to put away,,,guardo,guardas,guarda,guardamos,guardam
"Having, needing & ability",B1,275,salvar,to save,,,salvo,salvas,salva,salvamos,salvam
"Having, needing & ability",B1,358,reparar,to repair,,,reparo,reparas,repara,reparamos,reparam
"Having, needing & ability",B2,337,recuperar,to recover,,,recupero,recuperas,recupera,recuperamos,recuperam
"Having, needing & ability",B2,369,sustentar,to sustain,,,sustento,sustentas,sustenta,sustentamos,sustentam
"Having, needing & ability",B2,374,resistir,to resist,,,resisto,resistes,resiste,resistimos,resistem
"Having, needing & ability",C1,440,necessitar,to need,,,necessito,necessitas,necessita,necessitamos,necessitam
"Having, needing & ability",C2,453,suportar,to endure,,,suporto,suportas,suporta,suportamos,suportam
"Having, needing & ability",C2,478,conservar,to conserve,,,conservo,conservas,conserva,conservamos,conservam
"Wanting, deciding & trying",A1,12,querer,to want,,,quero,queres,quer,queremos,querem
"Wanting, deciding & trying",A1,70,tentar,to try,,,tento,tentas,tenta,tentamos,tentam
"Wanting, deciding & trying",A1,208,preferir,to prefer,,,prefiro,preferes,prefere,preferimos,preferem
"Wanting, deciding & trying",A2,104,decidir,to decide,,,decido,decides,decide,decidimos,decidem
"Wanting, deciding & trying",A2,112,resolver,to resolve,,,resolvo,resolves,resolve,resolvemos,resolvem
"Wanting, deciding & trying",A2,119,pretender,to intend,,,pretendo,pretendes,pretende,pretendemos,pretendem
"Wanting, deciding & trying",A2,131,marcar,to mark,,,marco,marcas,marca,marcamos,marcam
"Wanting, deciding & trying",B1,154,escolher,to choose,,,escolho,escolhes,escolhe,escolhemos,escolhem
"Wanting, deciding & trying",B1,173,apontar,to point,,,aponto,apontas,aponta,apontamos,apontam
"Wanting, deciding & trying",B1,181,preparar,to prepare,,,preparo,preparas,prepara,preparamos,preparam
"Wanting, deciding & trying",B1,204,fixar,to fix / to set,,,fixo,fixas,fixa,fixamos,fixam
"Wanting, deciding & trying",B2,152,definir,to define,,,defino,defines,define,definimos,definem
"Wanting, deciding & trying",B2,161,determinar,to determine,,,determino,determinas,determina,determinamos,determinam
"Wanting, deciding & trying",B2,312,costumar,to be used to / to usually do,,,costumo,costumas,costuma,costumamos,costumam
"Wanting, deciding & trying",B2,346,visar,to aim / to target,,,viso,visas,visa,visamos,visam
"Wanting, deciding & trying",C1,270,designar,to designate,,,designo,designas,designa,designamos,designam
"Wanting, deciding & trying",C1,409,acertar,to hit (target),,,acerto,acertas,acerta,acertamos,acertam
"Wanting, deciding & trying",C1,436,errar,to err,,,erro,erras,erra,erramos,erram
"Wanting, deciding & trying",C2,452,experimentar,to experiment,,,experimento,experimentas,experimenta,experimentamos,experimentam
"Wanting, deciding & trying",C2,457,optar,to opt,,,opto,optas,opta,optamos,optam
"Wanting, deciding & trying",C2,494,projectar,to project / to plan,,,projeto,projetas,projeta,projetamos,projetam
"Doing, working & using",A1,5,fazer,to do,,,faço,fazes,faz,fazemos,fazem
"Doing, working & using",A1,48,trabalhar,to work,,,trabalho,trabalhas,trabalha,trabalhamos,trabalham
"Doing, working & using",A1,58,usar,to use,,,uso,usas,usa,usamos,usam
"Doing, working & using",A1,505,desligar,to turn off / hang up,,,desligo,desligas,desliga,desligamos,desligam
"Doing, working & using",A2,89,servir,to serve,,,sirvo,serves,serve,servimos,servem
"Doing, working & using",A2,93,desenvolver,to develop,,,desenvolvo,desenvolves,desenvolve,desenvolvemos,desenvolvem
"Doing, working & using",A2,563,reiniciar,to restart,,,reinicio,reinicias,reinicia,reiniciamos,reiniciam
"Doing, working & using",A2,564,atualizar,to update,,,atualizo,atualizas,atualiza,atualizamos,atualizam
"Doing, working & using",A2,565,descarregar,to download,,,descarrego,descarregas,descarrega,descarregamos,descarregam
"Doing, working & using",A2,566,copiar,to copy,,,copio,copias,copia,copiamos,copiam
"Doing, working & using",A2,567,colar,to paste / glue,,,colo,colas,cola,colamos,colam
"Doing, working & using",A2,568,partilhar,to share,,,partilho,partilhas,partilha,partilhamos,partilham
"Doing, working & using",A2,569,bloquear,to block,,,bloqueio,bloqueias,bloqueia,bloqueamos,bloqueiam
"Doing, working & using",A2,570,desbloquear,to unlock,,,desbloqueio,desbloqueias,desbloqueia,desbloqueamos,desbloqueiam
"Doing, working & using",A2,571,clicar,to click,,,clico,clicas,clica,clicamos,clicam
"Doing, working & using",B1,178,repetir,to repeat,,,repito,repetes,repete,repetimos,repetem
"Doing, working & using",B1,182,aplicar,to apply,,,aplico,aplicas,aplica,aplicamos,aplicam
"Doing, working & using",B1,185,funcionar,to work,,,funciono,funcionas,funciona,funcionamos,funcionam
"Doing, working & using",B1,194,cumprir,to comply,,,cumpro,cumpres,cumpre,cumprimos,cumprem
"Doing, working & using",B1,230,exercer,to exercise,,,exerço,exerces,exerce,exercemos,exercem
"Doing, working & using",B1,662,desinstalar,to uninstall,,,desinstalo,desinstalas,desinstala,desinstalamos,desinstalam
"Doing, working & using",B1,663,deslizar,to swipe / slide,,,deslizo,deslizas,desliza,deslizamos,deslizam
"Doing, working & using",B2,60,realizar,to carry out / to achieve,,,realizo,realizas,realiza,realizamos,realizam
"Doing, working & using",B2,115,utilizar,to use,,,utilizo,utilizas,utiliza,utilizamos,utilizam
"Doing, working & using",B2,136,assumir,to assume / to take on,,,assumo,assumes,assume,assumimos,assumem
"Doing, working & using",B2,326,praticar,to practice,,,pratico,praticas,pratica,praticamos,praticam
"Doing, working & using",B2,360,executar,to execute,,,executo,executas,executa,executamos,executam
"Doing, working & using",B2,375,cometer,to commit,,,cometo,cometes,comete,cometemos,cometem
"Doing, working & using",B2,376,agir,to act,,,ajo,ages,age,agimos,agem
"Doing, working & using",B2,693,hackear,to hack,,,hackeio,hackeias,hackeia,hackeamos,hackeiam
"Doing, working & using",B2,694,encriptar,to encrypt,,,encripto,encriptas,encripta,encriptamos,encriptam
"Doing, working & using",B2,710,reconfigurar,to reconfigure,,,reconfiguro,reconfiguras,reconfigura,reconfiguramos,reconfiguram
"Doing, working & using",B2,805,indexar,to index,,,indexo,indexas,indexa,indexamos,indexam
"Doing, working & using",C1,278,actuar,to act,,,atuo,atuas,atua,atuamos,atuam
"Doing, working & using",C1,383,empregar,to employ,,,emprego,empregas,emprega,empregamos,empregam
"Doing, working & using",C1,388,operar,to operate,,,opero,operas,opera,operamos,operam
"Doing, working & using",C2,415,desempenhar,to perform / to play (a role),,,desempenho,desempenhas,desempenha,desempenhamos,desempenham
"Doing, working & using",C2,427,efectuar,to carry out / to do,,,efetuo,efetuas,efetua,efetuamos,efetuam
"Doing, working & using",C2,471,proceder,to proceed,,,procedo,procedes,procede,procedemos,procedem
"Starting, stopping & continuing",A1,22,começar,to begin,,,começo,começas,começa,começamos,começam
"Starting, stopping & continuing",A1,40,continuar,to continue,,,continuo,continuas,continua,continuamos,continuam
"Starting, stopping & continuing",A1,44,acabar,to end,,,acabo,acabas,acaba,acabamos,acabam
"Starting, stopping & continuing",A1,102,parar,to stop,,,paro,paras,para,paramos,param
"Starting, stopping & continuing",A2,120,iniciar,to start,,,inicio,inicias,inicia,iniciamos,iniciam
"Starting, stopping & continuing",A2,149,terminar,to end,,,termino,terminas,termina,terminamos,terminam
"Starting, stopping & continuing",A2,509,atrasar,to delay / be late,,,atraso,atrasas,atrasa,atrasamos,atrasam
"Starting, stopping & continuing",B1,175,concluir,to conclude,,,concluo,concluis,conclui,concluímos,concluem
"Starting, stopping & continuing",B1,179,abandonar,to abandon,,,abandono,abandonas,abandona,abandonamos,abandonam
"Starting, stopping & continuing",B2,329,deter,to stop,,,detenho,deténs,detém,detemos,detêm
"Starting, stopping & continuing",B2,352,prosseguir,to continue,,,prossigo,prossegues,prossegue,prosseguimos,prosseguem
"Starting, stopping & continuing",B2,359,soltar,to release,,,solto,soltas,solta,soltamos,soltam
"Starting, stopping & continuing",B2,380,interromper,to interrupt,,,interrompo,interrompes,interrompe,interrompemos,interrompem
"Starting, stopping & continuing",C1,345,libertar,to free / to release,,,liberto,libertas,liberta,libertamos,libertam
"Starting, stopping & continuing",C1,396,ceder,to yield,,,cedo,cedes,cede,cedemos,cedem
"Starting, stopping & continuing",C1,420,prender,to arrest,,,prendo,prendes,prende,prendemos,prendem
"Starting, stopping & continuing",C1,426,retomar,to resume,,,retomo,retomas,retoma,retomamos,retomam
"Starting, stopping & continuing",C1,433,encerrar,to close,,,encerro,encerras,encerra,encerramos,encerram
"Starting, stopping & continuing",C1,443,largar,to drop,,,largo,largas,larga,largamos,largam
"Going, coming & traveling",A1,6,ir,to go,,,vou,vais,vai,vamos,vão
"Going, coming & traveling",A1,15,passar,to pass / to spend (time),,,passo,passas,passa,passamos,passam
"Going, coming & traveling",A1,16,vir,to come,,,venho,vens,vem,vimos,vêm
"Going, coming & traveling",A1,17,chegar,to arrive / to get there,,,chego,chegas,chega,chegamos,chegam
"Going, coming & traveling",A1,23,partir,to depart,,,parto,partes,parte,partimos,partem
"Going, coming & traveling",A1,29,sair,to exit,,,saio,sais,sai,saímos,saem
"Going, coming & traveling",A1,30,voltar,to come/go back,,,volto,voltas,volta,voltamos,voltam
"Going, coming & traveling",A1,35,entrar,to enter,,,entro,entras,entra,entramos,entram
"Going, coming & traveling",A1,47,andar,to walk,,,ando,andas,anda,andamos,andam
"Going, coming & traveling",A1,51,seguir,to follow,,,sigo,segues,segue,seguimos,seguem
"Going, coming & traveling",A1,74,cair,to fall,,,caio,cais,cai,caímos,caem
"Going, coming & traveling",A1,75,correr,to run,,,corro,corres,corre,corremos,correm
"Going, coming & traveling",A1,114,subir,to go up,,,subo,sobes,sobe,subimos,sobem
"Going, coming & traveling",A1,157,descer,to go down,,,desço,desces,desce,descemos,descem
"Going, coming & traveling",A2,108,acompanhar,to follow,,,acompanho,acompanhas,acompanha,acompanhamos,acompanham
"Going, coming & traveling",A2,141,dirigir,to drive,,,dirijo,diriges,dirige,dirigimos,dirigem
"Going, coming & traveling",A2,146,fugir,to flee,,,fujo,foges,foge,fugimos,fogem
"Going, coming & traveling",A2,506,reservar,to reserve,,,reservo,reservas,reserva,reservamos,reservam
"Going, coming & traveling",A2,560,embarcar,to board,,,embarco,embarcas,embarca,embarcamos,embarcam
"Going, coming & traveling",A2,561,estacionar,to park,,,estaciono,estacionas,estaciona,estacionamos,estacionam
"Going, coming & traveling",B1,213,atravessar,to cross,,,atravesso,atravessas,atravessa,atravessamos,atravessam
"Going, coming & traveling",B1,226,avançar,to advance,,,avanço,avanças,avança,avançamos,avançam
"Going, coming & traveling",B1,235,conduzir,to conduct,,,conduzo,conduzes,conduz,conduzimos,conduzem
"Going, coming & traveling",B1,242,regressar,to return,,,regresso,regressas,regressa,regressamos,regressam
"Going, coming & traveling",B1,351,voar,to fly,,,vor),voas,voa,voamos,voam
"Going, coming & traveling",B1,654,desembarcar,to disembark,,,desembarco,desembarcas,desembarca,desembarcamos,desembarcam
"Going, coming & traveling",B1,655,descolar,to take off (plane),,,descolo,descolas,descola,descolamos,descolam
"Going, coming & traveling",B1,656,aterrar,to land,,,aterro,aterras,aterra,aterramos,aterram
"Going, coming & traveling",B1,657,abastecer,to refuel,,,abasteço,abasteces,abastece,abastecemos,abastecem
"Going, coming & traveling",B1,658,abrandar,to slow down,,,abrando,abrandas,abranda,abrandamos,abrandam
"Going, coming & traveling",B1,659,acelerar,to accelerate,,,acelero,aceleras,acelera,aceleramos,aceleram
"Going, coming & traveling",B1,660,navegar,to navigate / sail / browse,,,navego,navegas,navega,navegamos,navegam
"Going, coming & traveling",B1,661,orientar,to find one's way,,,oriento,orientas,orienta,orientamos,orientam
"Going, coming & traveling",B2,284,adiantar,to forward,,,adianto,adiantas,adianta,adiantamos,adiantam
"Going, coming & traveling",B2,302,caminhar,to walk,,,caminho,caminhas,caminha,caminhamos,caminham
"Going, coming & traveling",B2,353,demorar,to take (time) / to delay,,,demoro,demoras,demora,demoramos,demoram
"Going, coming & traveling",B2,354,ultrapassar,to overtake,,,ultrapasso,ultrapassas,ultrapassa,ultrapassamos,ultrapassam
"Going, coming & traveling",B2,356,saltar,to skip,,,salto,saltas,salta,saltamos,saltam
"Going, coming & traveling",B2,373,escapar,to escape,,,escapo,escapas,escapa,escapamos,escapam
"Going, coming & traveling",C1,397,percorrer,to go through,,,percorro,percorres,percorre,percorremos,percorrem
"Going, coming & traveling",C2,469,circular,to circulate / to go around,yes,same spelling as adjective/noun,circulo,circulas,circula,circulamos,circulam
"Going, coming & traveling",C2,498,frequentar,to attend,,,frequento,frequentas,frequenta,frequentamos,frequentam
Moving the body & objects,A1,21,levar,to take / to carry,,,levo,levas,leva,levamos,levam
Moving the body & objects,A1,67,trazer,to bring,,,trago,trazes,traz,trazemos,trazem
Moving the body & objects,A2,97,levantar,to lift,,,levanto,levantas,levanta,levantamos,levantam
Moving the body & objects,A2,98,mandar,to send,,,mando,mandas,manda,mandamos,mandam
Moving the body & objects,A2,100,atingir,to reach,,,atinjo,atinges,atinge,atingimos,atingem
Moving the body & objects,A2,103,bater,to hit,,,bato,bates,bate,batemos,batem
Moving the body & objects,A2,110,lançar,to launch,,,lanço,lanças,lança,lançamos,lançam
Moving the body & objects,B1,174,virar,to turn,,,viro,viras,vira,viramos,viram
Moving the body & objects,B1,195,aproximar,to approach,,,aproximo,aproximas,aproxima,aproximamos,aproximam
Moving the body & objects,B1,202,afastar,to move away,,,afasto,afastas,afasta,afastamos,afastam
Moving the body & objects,B1,207,erguer,to erect,,,ergo,ergues,ergue,erguemos,erguem
Moving the body & objects,B1,214,alcançar,to reach,,,alcanço,alcanças,alcança,alcançamos,alcançam
Moving the body & objects,B1,220,cortar,to cut,,,corto,cortas,corta,cortamos,cortam
Moving the body & objects,B1,221,enviar,to send,,,envio,envias,envia,enviamos,enviam
Moving the body & objects,B1,246,baixar,to lower / to download,,,baixo,baixas,baixa,baixamos,baixam
Moving the body & objects,B1,258,atirar,to throw,,,atiro,atiras,atira,atiramos,atiram
Moving the body & objects,B1,341,quebrar,to break,,,quebro,quebras,quebra,quebramos,quebram
Moving the body & objects,B2,294,puxar,to pull,,,puxo,puxas,puxa,puxamos,puxam
Moving the body & objects,B2,315,mover,to move,,,movo,moves,move,movemos,movem
Moving the body & objects,B2,331,carregar,to load,,,carrego,carregas,carrega,carregamos,carregam
Moving the body & objects,B2,332,arrastar,to drag,,,arrasto,arrastas,arrasta,arrastamos,arrastam
Moving the body & objects,B2,368,apertar,to squeeze,,,aperto,apertas,aperta,apertamos,apertam
Moving the body & objects,C1,394,romper,to break off,,,rompo,rompes,rompe,rompemos,rompem
Moving the body & objects,C1,402,deslocar,to shift,,,desloco,deslocas,desloca,deslocamos,deslocam
Moving the body & objects,C1,404,transportar,to transport,,,transporto,transportas,transporta,transportamos,transportam
Moving the body & objects,C1,422,mexer,to move / to stir / to touch,,,mexo,mexes,mexe,mexemos,mexem
Moving the body & objects,C2,463,sacudir,to shake,,,sacudo,sacodes,sacode,sacudimos,sacodem
Moving the body & objects,C2,466,dobrar,to fold,,,dobro,dobras,dobra,dobramos,dobram
Moving the body & objects,C2,467,derrubar,to overturn,,,derrubo,derrubas,derruba,derrubamos,derrubam
Moving the body & objects,C2,481,encaminhar,to forward,,,encaminho,encaminhas,encaminha,encaminhamos,encaminham
"Putting, taking & placing",A1,19,deixar,to leave,,,deixo,deixas,deixa,deixamos,deixam
"Putting, taking & placing",A1,39,pôr,to put,,,ponho,pões,põe,pomos,põem
"Putting, taking & placing",A1,43,tomar,to take,,,tomo,tomas,toma,tomamos,tomam
"Putting, taking & placing",A1,87,colocar,to put,,,coloco,colocas,coloca,colocamos,colocam
"Putting, taking & placing",A1,90,tirar,to take away,,,tiro,tiras,tira,tiramos,tiram
"Putting, taking & placing",A2,187,meter,to put,,,meto,metes,mete,metemos,metem
"Putting, taking & placing",B1,167,entregar,to deliver,,,entrego,entregas,entrega,entregamos,entregam
"Putting, taking & placing",B1,169,pegar,to catch,,,pego,pegas,pega,pegamos,pegam
"Putting, taking & placing",B1,186,retirar,to remove,,,retiro,retiras,retira,retiramos,retiram
"Putting, taking & placing",B1,205,dispor,to arrange,,,disponho,dispões,dispõe,dispomos,dispõem
"Putting, taking & placing",B1,256,apanhar,to catch,,,apanho,apanhas,apanha,apanhamos,apanham
"Putting, taking & placing",B2,324,recolher,to collect,,,recolho,recolhes,recolhe,recolhemos,recolhem
"Putting, taking & placing",C1,390,arrancar,to pull out / to start (up),,,arranco,arrancas,arranca,arrancamos,arrancam
"Putting, taking & placing",C1,447,segurar,to hold,,,seguro,seguras,segura,seguramos,seguram
"Putting, taking & placing",C1,448,agarrar,to grab,,,agarro,agarras,agarra,agarramos,agarram
"Putting, taking & placing",C2,459,colher,to collect,,,colho,colhes,colhe,colhemos,colhem
"Opening, closing & covering",A1,61,abrir,to open,,,abro,abres,abre,abrimos,abrem
"Opening, closing & covering",A1,106,fechar,to close,,,fecho,fechas,fecha,fechamos,fecham
"Opening, closing & covering",A1,361,limpar,to clean / to wipe,,,limpo,limpas,limpa,limpamos,limpam
"Opening, closing & covering",A1,421,vestir,to dress,,,visto,vestes,veste,vestimos,vestem
"Opening, closing & covering",A1,497,lavar,to wash,,,lavo,lavas,lava,lavamos,lavam
"Opening, closing & covering",B1,233,cobrir,to cover,,,cubro,cobres,cobre,cobrimos,cobrem
"Opening, closing & covering",B1,272,esconder,to hide,,,escondo,escondes,esconde,escondemos,escondem
"Opening, closing & covering",C2,468,acender,to light / to turn on,,,acendo,acendes,acende,acendemos,acendem
"Opening, closing & covering",C2,470,apagar,to erase / to turn off / to delete,,,apago,apagas,apaga,apagamos,apagam
"Creating, building & destroying",A1,49,criar,to create,,,crio,crias,cria,criamos,criam
"Creating, building & destroying",A2,71,formar,to form,,,formo,formas,forma,formamos,formam
"Creating, building & destroying",A2,82,produzir,to produce,,,produzo,produzes,produz,produzimos,produzem
"Creating, building & destroying",A2,132,construir,to build,,,construo,constróis,constrói,construímos,constroem
"Creating, building & destroying",A2,145,matar,to kill,,,mato,matas,mata,matamos,matam
"Creating, building & destroying",B1,234,compor,to compose,,,componho,compões,compõe,compomos,compõem
"Creating, building & destroying",B1,336,destruir,to destroy,,,destruo,destróis,destrói,destruímos,destroem
"Creating, building & destroying",B2,118,estabelecer,to establish,,,estabeleço,estabeleces,estabelece,estabelecemos,estabelecem
"Creating, building & destroying",B2,290,fundar,to set up,,,fundo,fundas,funda,fundamos,fundam
"Creating, building & destroying",B2,295,instalar,to install,,,instalo,instalas,instala,instalamos,instalam
"Creating, building & destroying",B2,363,montar,to assemble / to ride / to set up,,,monto,montas,monta,montamos,montam
"Creating, building & destroying",B2,370,inventar,to invent,,,invento,inventas,inventa,inventamos,inventam
"Creating, building & destroying",B2,490,queimar,to burn,,,queimo,queimas,queima,queimamos,queimam
"Creating, building & destroying",C1,392,ferir,to hurt,,,firo,feres,fere,ferimos,ferem
"Creating, building & destroying",C2,465,armar,to arm,,,armo,armas,arma,armamos,armam
"Creating, building & destroying",C2,474,eliminar,to delete,,,elimino,eliminas,elimina,eliminamos,eliminam
Seeing & looking,A1,10,ver,to see,,,vejo,vês,vê,vemos,vêem
